Episode, Reward, Steps, Loss, Entropy
260.0000,11.0000,11.0000,0.6294,0.1541
261.0000,12.0000,12.0000,0.5963,0.1491
262.0000,11.0000,11.0000,0.7616,0.1307
263.0000,9.0000,9.0000,0.3313,0.1142
264.0000,12.0000,12.0000,1.0671,0.1117
265.0000,8.0000,8.0000,0.5506,0.1262
266.0000,12.0000,12.0000,1.2431,0.1691
267.0000,12.0000,12.0000,0.5915,0.1610
268.0000,10.0000,10.0000,0.2082,0.1182
269.0000,11.0000,11.0000,0.6229,0.1720
270.0000,9.0000,9.0000,0.2616,0.1282
271.0000,10.0000,10.0000,0.2389,0.1324
272.0000,11.0000,11.0000,0.6266,0.1786
273.0000,11.0000,11.0000,0.6025,0.1749
274.0000,12.0000,12.0000,0.5791,0.1787
275.0000,12.0000,12.0000,0.7084,0.1513
276.0000,11.0000,11.0000,0.1930,0.1291
277.0000,10.0000,10.0000,0.1876,0.1407
278.0000,11.0000,11.0000,2.6311,0.2034
279.0000,10.0000,10.0000,0.2115,0.1517
280.0000,10.0000,10.0000,0.1810,0.1446
281.0000,10.0000,10.0000,0.2040,0.1531
282.0000,11.0000,11.0000,1.0054,0.1712
283.0000,13.0000,13.0000,0.5423,0.1954
284.0000,9.0000,9.0000,0.3165,0.1742
285.0000,10.0000,10.0000,0.2067,0.1673
286.0000,9.0000,9.0000,0.3198,0.1829
287.0000,10.0000,10.0000,0.9343,0.2174
288.0000,9.0000,9.0000,0.2767,0.1883
289.0000,12.0000,12.0000,0.5703,0.2145
290.0000,10.0000,10.0000,0.1988,0.1871
291.0000,10.0000,10.0000,0.2025,0.1947
292.0000,9.0000,9.0000,0.2808,0.1997
293.0000,10.0000,10.0000,0.1852,0.1928
294.0000,10.0000,10.0000,0.1863,0.1978
295.0000,11.0000,11.0000,1.1675,0.1966
296.0000,12.0000,12.0000,1.2098,0.2442
297.0000,9.0000,9.0000,0.1761,0.2120
298.0000,14.0000,14.0000,1.5304,0.2626
299.0000,9.0000,9.0000,0.2358,0.2362
300.0000,10.0000,10.0000,0.1672,0.2310
301.0000,13.0000,13.0000,1.2030,0.2597
302.0000,9.0000,9.0000,0.2242,0.2617
303.0000,9.0000,9.0000,0.1795,0.2700
304.0000,11.0000,11.0000,0.5715,0.3067
305.0000,12.0000,12.0000,0.5311,0.3076
306.0000,10.0000,10.0000,0.1710,0.2975
307.0000,10.0000,10.0000,0.1652,0.3048
308.0000,10.0000,10.0000,0.1660,0.3162
309.0000,11.0000,11.0000,0.5482,0.3605
310.0000,10.0000,10.0000,0.6418,0.3705
311.0000,11.0000,11.0000,0.9026,0.3460
312.0000,9.0000,9.0000,0.1422,0.3628
313.0000,14.0000,14.0000,0.7305,0.3989
314.0000,9.0000,9.0000,0.1483,0.3966
315.0000,14.0000,14.0000,1.7023,0.4467
316.0000,9.0000,9.0000,1.0543,0.4415
317.0000,10.0000,10.0000,0.8331,0.4490
318.0000,10.0000,10.0000,0.7848,0.4852
319.0000,9.0000,9.0000,0.6879,0.5123
320.0000,23.0000,23.0000,1.4408,0.5389
321.0000,13.0000,13.0000,0.6235,0.5559
322.0000,9.0000,9.0000,0.9641,0.5789
323.0000,9.0000,9.0000,2.0786,0.6007
324.0000,9.0000,9.0000,0.7404,0.6222
325.0000,11.0000,11.0000,1.7578,0.6249
326.0000,18.0000,18.0000,1.9806,0.6352
327.0000,14.0000,14.0000,1.4228,0.6627
328.0000,14.0000,14.0000,0.6004,0.6634
329.0000,16.0000,16.0000,2.0332,0.6598
330.0000,12.0000,12.0000,1.2614,0.6785
331.0000,23.0000,23.0000,1.2441,0.6628
332.0000,31.0000,31.0000,1.5858,0.6712
333.0000,15.0000,15.0000,1.7055,0.6801
334.0000,14.0000,14.0000,3.9888,0.6703
335.0000,12.0000,12.0000,0.9537,0.6459
336.0000,26.0000,26.0000,2.0374,0.6800
337.0000,61.0000,61.0000,2.5816,0.6648
338.0000,106.0000,106.0000,1.9353,0.6725
339.0000,26.0000,26.0000,2.1584,0.6726
340.0000,10.0000,10.0000,11.8359,0.6683
341.0000,43.0000,43.0000,3.4190,0.6743
342.0000,14.0000,14.0000,9.2302,0.6768
343.0000,35.0000,35.0000,2.2165,0.6741
344.0000,12.0000,12.0000,11.9305,0.6869
345.0000,29.0000,29.0000,1.7246,0.6484
346.0000,30.0000,30.0000,5.5653,0.6644
347.0000,38.0000,38.0000,3.8530,0.6877
348.0000,19.0000,19.0000,7.5380,0.6918
349.0000,33.0000,33.0000,4.8814,0.6828
350.0000,55.0000,55.0000,3.3096,0.6773
351.0000,25.0000,25.0000,6.2797,0.6823
352.0000,14.0000,14.0000,10.0889,0.6841
353.0000,11.0000,11.0000,11.3246,0.6849
354.0000,13.0000,13.0000,11.7335,0.6833
355.0000,26.0000,26.0000,5.3977,0.6686
356.0000,67.0000,67.0000,1.7735,0.6484
357.0000,25.0000,25.0000,5.7127,0.6699
358.0000,11.0000,11.0000,13.7476,0.6581
359.0000,19.0000,19.0000,7.0873,0.6605
360.0000,16.0000,16.0000,4.9635,0.5813
361.0000,36.0000,36.0000,4.2342,0.6731
362.0000,22.0000,22.0000,5.7725,0.6628
363.0000,16.0000,16.0000,8.5412,0.6608
364.0000,25.0000,25.0000,5.5414,0.6724
365.0000,25.0000,25.0000,5.3077,0.6470
366.0000,19.0000,19.0000,6.9235,0.6357
367.0000,16.0000,16.0000,7.6394,0.6250
368.0000,11.0000,11.0000,12.2231,0.5769
