Episode, Reward, Steps, Loss, Entropy
170.0000,256.0000,256.0000,0.2289,0.5509
171.0000,358.0000,358.0000,0.2289,0.5509
172.0000,500.0000,500.0000,0.2289,0.5509
173.0000,301.0000,301.0000,0.2289,0.5509
174.0000,500.0000,500.0000,0.2289,0.5509
175.0000,500.0000,500.0000,0.4410,0.5629
176.0000,287.0000,287.0000,0.4410,0.5629
177.0000,500.0000,500.0000,0.4410,0.5629
178.0000,500.0000,500.0000,0.4410,0.5629
179.0000,330.0000,330.0000,0.4410,0.5629
180.0000,261.0000,261.0000,0.6682,0.5599
181.0000,127.0000,127.0000,0.6682,0.5599
182.0000,232.0000,232.0000,0.6682,0.5599
183.0000,500.0000,500.0000,0.6682,0.5599
184.0000,316.0000,316.0000,0.6682,0.5599
185.0000,410.0000,410.0000,0.7125,0.5636
186.0000,500.0000,500.0000,0.7125,0.5636
187.0000,364.0000,364.0000,0.7125,0.5636
188.0000,293.0000,293.0000,0.7125,0.5636
189.0000,330.0000,330.0000,0.7125,0.5636
190.0000,500.0000,500.0000,0.6257,0.5630
191.0000,86.0000,86.0000,0.6257,0.5630
192.0000,350.0000,350.0000,0.6257,0.5630
193.0000,191.0000,191.0000,0.6257,0.5630
194.0000,500.0000,500.0000,0.6257,0.5630
195.0000,500.0000,500.0000,0.4118,0.5672
196.0000,440.0000,440.0000,0.4118,0.5672
197.0000,314.0000,314.0000,0.4118,0.5672
198.0000,454.0000,454.0000,0.4118,0.5672
199.0000,172.0000,172.0000,0.4118,0.5672
200.0000,114.0000,114.0000,0.2765,0.5622
201.0000,484.0000,484.0000,0.2765,0.5622
202.0000,178.0000,178.0000,0.2765,0.5622
203.0000,307.0000,307.0000,0.2765,0.5622
204.0000,303.0000,303.0000,0.2765,0.5622
205.0000,278.0000,278.0000,0.5793,0.5637
206.0000,340.0000,340.0000,0.5793,0.5637
207.0000,362.0000,362.0000,0.5793,0.5637
208.0000,239.0000,239.0000,0.5793,0.5637
209.0000,500.0000,500.0000,0.5793,0.5637
210.0000,319.0000,319.0000,0.3604,0.5555
211.0000,500.0000,500.0000,0.3604,0.5555
212.0000,500.0000,500.0000,0.3604,0.5555
213.0000,500.0000,500.0000,0.3604,0.5555
214.0000,228.0000,228.0000,0.3604,0.5555
215.0000,500.0000,500.0000,0.6239,0.5524
216.0000,500.0000,500.0000,0.6239,0.5524
217.0000,443.0000,443.0000,0.6239,0.5524
218.0000,355.0000,355.0000,0.6239,0.5524
219.0000,193.0000,193.0000,0.6239,0.5524
220.0000,497.0000,497.0000,0.3019,0.5500
221.0000,500.0000,500.0000,0.3019,0.5500
222.0000,301.0000,301.0000,0.3019,0.5500
223.0000,294.0000,294.0000,0.3019,0.5500
224.0000,500.0000,500.0000,0.3019,0.5500
225.0000,192.0000,192.0000,0.4003,0.5496
226.0000,252.0000,252.0000,0.4003,0.5496
227.0000,393.0000,393.0000,0.4003,0.5496
228.0000,443.0000,443.0000,0.4003,0.5496
229.0000,418.0000,418.0000,0.4003,0.5496
230.0000,441.0000,441.0000,0.3290,0.5548
231.0000,435.0000,435.0000,0.3290,0.5548
232.0000,315.0000,315.0000,0.3290,0.5548
233.0000,500.0000,500.0000,0.3290,0.5548
234.0000,500.0000,500.0000,0.3290,0.5548
235.0000,500.0000,500.0000,0.4067,0.5536
236.0000,500.0000,500.0000,0.4067,0.5536
237.0000,500.0000,500.0000,0.4067,0.5536
238.0000,500.0000,500.0000,0.4067,0.5536
239.0000,500.0000,500.0000,0.4067,0.5536
240.0000,500.0000,500.0000,0.8197,0.5464
241.0000,289.0000,289.0000,0.8197,0.5464
242.0000,204.0000,204.0000,0.8197,0.5464
243.0000,235.0000,235.0000,0.8197,0.5464
244.0000,264.0000,264.0000,0.8197,0.5464
245.0000,256.0000,256.0000,0.1170,0.5613
246.0000,279.0000,279.0000,0.1170,0.5613
247.0000,500.0000,500.0000,0.1170,0.5613
248.0000,335.0000,335.0000,0.1170,0.5613
249.0000,299.0000,299.0000,0.1170,0.5613
250.0000,276.0000,276.0000,0.1542,0.5682
251.0000,500.0000,500.0000,0.1542,0.5682
252.0000,179.0000,179.0000,0.1542,0.5682
253.0000,270.0000,270.0000,0.1542,0.5682
254.0000,500.0000,500.0000,0.1542,0.5682
255.0000,22.0000,22.0000,0.6161,0.5520
256.0000,313.0000,313.0000,0.6161,0.5520
257.0000,245.0000,245.0000,0.6161,0.5520
258.0000,279.0000,279.0000,0.6161,0.5520
259.0000,344.0000,344.0000,0.6161,0.5520
260.0000,197.0000,197.0000,0.1334,0.5542
261.0000,500.0000,500.0000,0.1334,0.5542
262.0000,396.0000,396.0000,0.1334,0.5542
263.0000,307.0000,307.0000,0.1334,0.5542
264.0000,500.0000,500.0000,0.1334,0.5542
265.0000,500.0000,500.0000,0.1931,0.5552
266.0000,500.0000,500.0000,0.1931,0.5552
267.0000,500.0000,500.0000,0.1931,0.5552
268.0000,500.0000,500.0000,0.1931,0.5552
269.0000,500.0000,500.0000,0.1931,0.5552
270.0000,500.0000,500.0000,1.0592,0.5535
271.0000,500.0000,500.0000,1.0592,0.5535
272.0000,500.0000,500.0000,1.0592,0.5535
273.0000,500.0000,500.0000,1.0592,0.5535
274.0000,500.0000,500.0000,1.0592,0.5535
275.0000,500.0000,500.0000,0.4899,0.5632
276.0000,29.0000,29.0000,0.4899,0.5632
277.0000,500.0000,500.0000,0.4899,0.5632
278.0000,500.0000,500.0000,0.4899,0.5632
279.0000,409.0000,409.0000,0.4899,0.5632
280.0000,500.0000,500.0000,0.2582,0.5656
281.0000,192.0000,192.0000,0.2582,0.5656
282.0000,500.0000,500.0000,0.2582,0.5656
283.0000,500.0000,500.0000,0.2582,0.5656
284.0000,500.0000,500.0000,0.2582,0.5656
285.0000,500.0000,500.0000,0.4728,0.5479
286.0000,500.0000,500.0000,0.4728,0.5479
287.0000,500.0000,500.0000,0.4728,0.5479
