Episode, Reward, Steps, Loss, Entropy
302.0000,205.0000,205.0000,1.7657,0.5130
303.0000,214.0000,214.0000,2.3435,0.5200
304.0000,169.0000,169.0000,-4.3860,0.5385
305.0000,145.0000,145.0000,3.6622,0.5328
306.0000,138.0000,138.0000,2.7892,0.5148
307.0000,264.0000,264.0000,-5.5933,0.5231
308.0000,157.0000,157.0000,-0.7913,0.5199
309.0000,273.0000,273.0000,-3.5892,0.5184
310.0000,130.0000,130.0000,0.8724,0.5109
311.0000,159.0000,159.0000,1.5138,0.5174
312.0000,153.0000,153.0000,-0.0920,0.5517
313.0000,162.0000,162.0000,-2.6738,0.5323
314.0000,274.0000,274.0000,-10.7086,0.5304
315.0000,166.0000,166.0000,-6.5614,0.5245
316.0000,189.0000,189.0000,-1.9676,0.5511
317.0000,163.0000,163.0000,-1.5373,0.5209
318.0000,219.0000,219.0000,-9.0096,0.5278
319.0000,204.0000,204.0000,-1.2552,0.5296
320.0000,212.0000,212.0000,0.8092,0.5277
321.0000,150.0000,150.0000,-4.3985,0.5300
322.0000,246.0000,246.0000,-0.2735,0.5201
323.0000,189.0000,189.0000,-4.2776,0.5484
324.0000,177.0000,177.0000,-0.1080,0.5297
325.0000,146.0000,146.0000,-4.2288,0.5247
326.0000,125.0000,125.0000,3.6866,0.5376
327.0000,117.0000,117.0000,1.1515,0.5089
328.0000,110.0000,110.0000,-8.6872,0.5264
329.0000,108.0000,108.0000,1.2945,0.5184
330.0000,106.0000,106.0000,-0.9811,0.5099
331.0000,115.0000,115.0000,-0.0659,0.5398
332.0000,96.0000,96.0000,-7.1310,0.4994
333.0000,139.0000,139.0000,-1.5451,0.5232
334.0000,111.0000,111.0000,-5.6318,0.4976
335.0000,129.0000,129.0000,-0.2317,0.4982
336.0000,131.0000,131.0000,0.7678,0.4904
337.0000,146.0000,146.0000,-2.7382,0.5339
338.0000,122.0000,122.0000,-0.2489,0.5182
339.0000,160.0000,160.0000,-2.1526,0.5228
340.0000,152.0000,152.0000,3.5002,0.5297
341.0000,158.0000,158.0000,-3.5278,0.5326
342.0000,126.0000,126.0000,-1.1631,0.5260
343.0000,200.0000,200.0000,-3.3461,0.5235
344.0000,229.0000,229.0000,2.7711,0.4941
345.0000,175.0000,175.0000,3.0013,0.5187
346.0000,136.0000,136.0000,0.0814,0.5183
347.0000,132.0000,132.0000,-8.2444,0.5265
348.0000,141.0000,141.0000,-2.7818,0.5167
349.0000,155.0000,155.0000,-2.1941,0.5205
350.0000,225.0000,225.0000,-1.0361,0.5069
351.0000,200.0000,200.0000,-4.5167,0.5225
352.0000,205.0000,205.0000,1.5223,0.5230
353.0000,147.0000,147.0000,2.4648,0.5401
354.0000,193.0000,193.0000,3.7516,0.5192
355.0000,140.0000,140.0000,-4.7027,0.5069
356.0000,150.0000,150.0000,-5.4461,0.4919
357.0000,165.0000,165.0000,6.9149,0.5010
358.0000,223.0000,223.0000,3.7242,0.4813
359.0000,268.0000,268.0000,2.5441,0.5115
360.0000,241.0000,241.0000,-2.4182,0.5125
361.0000,322.0000,322.0000,-10.6893,0.5310
362.0000,209.0000,209.0000,1.6569,0.5281
363.0000,250.0000,250.0000,-0.0316,0.5256
364.0000,301.0000,301.0000,2.9667,0.5242
365.0000,369.0000,369.0000,12.4700,0.5101
366.0000,318.0000,318.0000,-2.5044,0.5080
367.0000,287.0000,287.0000,2.0106,0.5383
368.0000,206.0000,206.0000,-2.7528,0.5686
369.0000,262.0000,262.0000,-13.3824,0.5368
370.0000,215.0000,215.0000,-0.5682,0.5105
371.0000,208.0000,208.0000,-9.3961,0.5336
372.0000,269.0000,269.0000,-4.9950,0.5405
373.0000,184.0000,184.0000,-1.8770,0.5539
374.0000,165.0000,165.0000,-3.3750,0.5435
375.0000,174.0000,174.0000,0.1235,0.5244
376.0000,225.0000,225.0000,-8.5188,0.5393
377.0000,128.0000,128.0000,-4.0494,0.5355
378.0000,202.0000,202.0000,1.8890,0.5320
379.0000,146.0000,146.0000,2.2120,0.5150
380.0000,147.0000,147.0000,-0.8843,0.5494
381.0000,111.0000,111.0000,-4.0733,0.5254
382.0000,196.0000,196.0000,-4.5324,0.5312
383.0000,117.0000,117.0000,-8.0685,0.5241
384.0000,116.0000,116.0000,0.3994,0.5104
385.0000,101.0000,101.0000,-3.0378,0.5282
386.0000,141.0000,141.0000,-2.5077,0.5365
387.0000,124.0000,124.0000,-5.2671,0.5216
388.0000,107.0000,107.0000,-2.5610,0.5293
389.0000,94.0000,94.0000,4.8833,0.5160
390.0000,62.0000,62.0000,-12.2427,0.4549
391.0000,107.0000,107.0000,2.8329,0.5105
392.0000,78.0000,78.0000,4.2596,0.5169
393.0000,22.0000,22.0000,-0.0707,0.3737
394.0000,75.0000,75.0000,-2.5182,0.5045
395.0000,81.0000,81.0000,-7.3966,0.4886
396.0000,96.0000,96.0000,3.4087,0.5041
397.0000,108.0000,108.0000,-3.4209,0.5387
398.0000,101.0000,101.0000,-4.4816,0.5084
399.0000,85.0000,85.0000,-2.9609,0.5058
400.0000,95.0000,95.0000,-7.0026,0.4858
401.0000,114.0000,114.0000,1.6937,0.5379
402.0000,73.0000,73.0000,-2.3231,0.4938
403.0000,106.0000,106.0000,-0.2434,0.5300
404.0000,96.0000,96.0000,-4.2595,0.5306
405.0000,86.0000,86.0000,1.6008,0.4861
